dataset,gsm,donor_id,compartment,disease_state,barcodes,features,matrix_declared_nnz,matrix_nonzero_entries_read,zero_or_duplicate_entry_difference,qc_cells,excluded_cells,qc_fraction,min_genes,min_umi,max_mt_pct,exclusion_reason_counts,status
GSE230808,GSM7235331,SP20.002,AF,diseased,496,36601,907601,907601,0,488,8,0.983871,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=2;mt_pct_at_or_above_max=6,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235332,SP20.006,AF,diseased,1473,36601,4215225,4215225,0,1307,166,0.887305,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=88;mt_pct_at_or_above_max=78,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235333,SP21.007,AF,diseased,5994,36601,18187571,18187571,0,5976,18,0.996997,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=5;mt_pct_at_or_above_max=13,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235334,SP21.011,AF,diseased,2389,36601,13355486,13355486,0,2357,32,0.986605,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=25;mt_pct_at_or_above_max=7,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235335,SP21.013,AF,diseased,4706,36601,17260372,17260372,0,4691,15,0.996813,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=8;mt_pct_at_or_above_max=7,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235336,SP21.014,AF,diseased,3420,36601,11249014,11249014,0,2989,431,0.873977,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=78;mt_pct_at_or_above_max=353,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235337,SP21.016,AF,diseased,1599,36601,5708506,5708506,0,955,644,0.597248,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=274;mt_pct_at_or_above_max=370,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235338,SP21.017,AF,diseased,11239,36601,8334323,8334323,0,8619,2620,0.766883,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=3;mt_pct_at_or_above_max=2617,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235339,SP22.002,AF,diseased,4489,36601,16463225,16463225,0,3924,565,0.874137,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=190;mt_pct_at_or_above_max=375,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235340,SP22.003,AF,diseased,5400,36601,20246537,20246537,0,4795,605,0.887963,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=162;mt_pct_at_or_above_max=443,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235341,SP21.007,NP,diseased,4391,36601,18227181,18227181,0,4317,74,0.983147,200,500,20.0,detected_genes_below_min=2;detected_genes_below_min;mt_pct_at_or_above_max=20;mt_pct_at_or_above_max=52,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235342,SP21.011,NP,diseased,2053,36601,12293944,12293944,0,2016,37,0.981978,200,500,20.0,detected_genes_below_min=1;detected_genes_below_min;mt_pct_at_or_above_max=25;mt_pct_at_or_above_max=11,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235343,SP21.013,NP,diseased,3030,36601,15127735,15127735,0,2872,158,0.947855,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=79;mt_pct_at_or_above_max=79,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235344,SP21.014,NP,diseased,3765,36601,16396149,16396149,0,3702,63,0.983267,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=9;mt_pct_at_or_above_max=54,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235345,SP21.016,NP,diseased,2407,36601,7910112,7910112,0,1678,729,0.697133,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=337;mt_pct_at_or_above_max=392,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235346,SP21.017,NP,diseased,3597,36601,9101967,9101967,0,2849,748,0.792049,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=18;mt_pct_at_or_above_max=730,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235347,SP22.002,NP,diseased,4677,36601,11053295,11053295,0,3551,1126,0.759247,200,500,20.0,detected_genes_below_min=1;detected_genes_below_min;mt_pct_at_or_above_max=398;mt_pct_at_or_above_max=727,technical QC only; anatomical source and resident annotation pending
GSE230808,GSM7235348,SP22.003,NP,diseased,14746,36601,25217022,25217022,0,14502,244,0.983453,200,500,20.0,detected_genes_below_min;mt_pct_at_or_above_max=3;mt_pct_at_or_above_max=241,technical QC only; anatomical source and resident annotation pending
